case,tag,arm,total_tokens,relaxed_only_tokens,hesitation_total,hesitation_relaxed_only,wait_total,hmm_total,lets_total,actually_total,but_total,wait_relaxed_only,hmm_relaxed_only,lets_relaxed_only,actually_relaxed_only,but_relaxed_only
case_001,specCascTok0p3,spec_casc_tok (α=0.3),332,2,2,0,0,0,1,0,1,0,0,0,0,0
case_001,specCascTokSemanticGuardFutureGuard0p3k8,spec_casc_tok_semantic_guard_future_guard (α=0.3),332,2,2,0,0,0,1,0,1,0,0,0,0,0
case_001,specCascTokSemanticGuardV20p3,spec_casc_tok_semantic_guard_v2 (α=0.3),665,12,5,0,0,0,2,0,3,0,0,0,0,0
case_002,specCascTok0p3,spec_casc_tok (α=0.3),676,21,5,2,0,0,2,0,3,0,0,0,0,2
case_002,specCascTokSemanticGuardFutureGuard0p3k8,spec_casc_tok_semantic_guard_future_guard (α=0.3),1785,47,33,2,6,0,8,1,18,0,0,0,0,2
case_002,specCascTokSemanticGuardV20p3,spec_casc_tok_semantic_guard_v2 (α=0.3),914,32,5,0,0,0,2,0,3,0,0,0,0,0
case_003,specCascTok0p3,spec_casc_tok (α=0.3),466,10,11,1,0,0,2,0,9,0,0,1,0,0
case_003,specCascTokSemanticGuardFutureGuard0p3k8,spec_casc_tok_semantic_guard_future_guard (α=0.3),405,9,4,1,0,0,1,0,3,0,0,1,0,0
case_003,specCascTokSemanticGuardV20p3,spec_casc_tok_semantic_guard_v2 (α=0.3),463,10,10,0,0,0,1,0,9,0,0,0,0,0
case_004,specCascTok0p3,spec_casc_tok (α=0.3),256,9,1,0,0,0,1,0,0,0,0,0,0,0
case_004,specCascTokSemanticGuardFutureGuard0p3k8,spec_casc_tok_semantic_guard_future_guard (α=0.3),272,3,2,0,0,0,2,0,0,0,0,0,0,0
case_004,specCascTokSemanticGuardV20p3,spec_casc_tok_semantic_guard_v2 (α=0.3),256,9,1,0,0,0,1,0,0,0,0,0,0,0
case_005,specCascTok0p3,spec_casc_tok (α=0.3),405,4,4,0,0,0,1,0,3,0,0,0,0,0
case_005,specCascTokSemanticGuardFutureGuard0p3k8,spec_casc_tok_semantic_guard_future_guard (α=0.3),387,3,2,0,0,0,0,0,2,0,0,0,0,0
case_005,specCascTokSemanticGuardV20p3,spec_casc_tok_semantic_guard_v2 (α=0.3),405,4,4,0,0,0,1,0,3,0,0,0,0,0
case_006,specCascTok0p3,spec_casc_tok (α=0.3),362,7,2,0,0,0,2,0,0,0,0,0,0,0
case_006,specCascTokSemanticGuardFutureGuard0p3k8,spec_casc_tok_semantic_guard_future_guard (α=0.3),434,6,2,0,0,0,1,0,1,0,0,0,0,0
case_006,specCascTokSemanticGuardV20p3,spec_casc_tok_semantic_guard_v2 (α=0.3),476,14,1,0,0,0,1,0,0,0,0,0,0,0
case_007,specCascTok0p3,spec_casc_tok (α=0.3),507,8,3,0,0,0,1,0,2,0,0,0,0,0
case_007,specCascTokSemanticGuardFutureGuard0p3k8,spec_casc_tok_semantic_guard_future_guard (α=0.3),507,8,3,0,0,0,1,0,2,0,0,0,0,0
case_007,specCascTokSemanticGuardV20p3,spec_casc_tok_semantic_guard_v2 (α=0.3),455,9,5,0,0,0,2,0,3,0,0,0,0,0
case_008,specCascTok0p3,spec_casc_tok (α=0.3),547,8,2,0,0,0,1,0,1,0,0,0,0,0
case_008,specCascTokSemanticGuardFutureGuard0p3k8,spec_casc_tok_semantic_guard_future_guard (α=0.3),597,11,2,0,0,0,1,0,1,0,0,0,0,0
case_008,specCascTokSemanticGuardV20p3,spec_casc_tok_semantic_guard_v2 (α=0.3),448,5,3,0,0,0,0,0,3,0,0,0,0,0
case_009,specCascTok0p3,spec_casc_tok (α=0.3),258,3,0,0,0,0,0,0,0,0,0,0,0,0
case_009,specCascTokSemanticGuardFutureGuard0p3k8,spec_casc_tok_semantic_guard_future_guard (α=0.3),343,5,2,0,0,0,0,0,2,0,0,0,0,0
case_009,specCascTokSemanticGuardV20p3,spec_casc_tok_semantic_guard_v2 (α=0.3),258,3,0,0,0,0,0,0,0,0,0,0,0,0
