case,regressed,output_position,draft_marker,draft_text,emitted_text
case_002,False,5343,but, but,.
case_003,True,2541,lets, Let's, We
case_003,True,2549,lets, Let's, E
case_003,True,3138,lets, Let's, So
case_003,True,3576,but, But, So
case_003,True,3906,but,But,So
case_003,True,5075,but, but, which
case_003,True,5141,wait, Wait, 
case_003,True,5170,wait, Wait, 
case_003,True,6386,but,But,Alternatively
case_003,True,7222,but, but, so
case_003,True,8824,lets,Let's,Instead
case_003,True,10649,wait, Wait, 
case_003,True,17741,but, But, Our
case_003,True,18890,but, But, We
case_003,True,19046,lets, Let's, That
case_003,True,19084,lets, Let's, So
case_003,True,21046,but, But, Eg
case_003,True,22885,wait, Wait, Not
case_003,True,24365,lets, Let's, There
case_003,True,24997,but, But, Average
case_003,True,27277,but, but, manually
case_003,True,27692,but, but, the
case_003,True,27827,but, But, Our
case_003,True,30179,but, But, Then
case_003,True,30303,but, but, which
case_003,True,31492,wait, Wait, That
case_003,True,32124,lets, Let's, The
case_003,True,32709,wait, Wait, (
case_004,False,14503,lets, Let's, We
case_004,False,14752,lets, Let's, Evaluate
case_004,False,19843,lets, Let's, Might
case_004,False,20099,lets,Let's,We
case_004,False,24245,lets, Let's, So
case_004,False,26163,actually, Actually, We
case_004,False,26641,actually, Actually, cos
case_004,False,26676,actually, Actually, It's
case_004,False,27947,lets, Let's, The
case_004,False,30957,lets, Let's, So
case_006,False,1091,but,But,Row
case_006,False,1686,lets, Let's, Since
case_006,False,5810,lets, Let's, Because
case_006,False,6458,wait, Wait, Maybe
case_007,False,499,lets, Let's, Use
case_007,False,743,lets, Let's, Might
case_007,False,2315,lets, Let's, Use
case_011,False,245,but, but, opposite
case_011,False,1082,lets, Let's, Or
case_011,False,1205,but, But, Determine
case_011,False,3731,actually, Actually, D
case_011,False,5189,but, But, That
case_011,False,11253,but,But,Now
case_011,False,12727,but, But, In
case_012,False,1289,lets, Let's, For
case_014,True,3362,lets,Let's,Another
case_014,True,3796,but, But, The
case_014,True,6156,but, But, Why
case_014,True,6976,but,But,Another
case_014,True,7632,lets, Let's, Not
case_014,True,9508,but, But, The
case_014,True,11146,actually, Actually, Not
case_014,True,11542,but, but, and
case_014,True,17317,actually, Actually,"?

"
case_014,True,18257,wait, Wait, Not
case_014,True,18629,but, But, The
case_014,True,21285,but, but, we
case_014,True,23752,but,But,Ok
case_014,True,28266,lets, Let's, In
case_014,True,29726,lets, Let's, We'll
case_014,True,30242,actually, Actually, Or
case_014,True,30621,but, But, Might
case_014,True,32417,but,But,However
case_015,False,2856,wait, Wait, Because
case_015,False,2937,wait, Wait, As
case_018,False,4499,but, but, inclusion
case_019,False,868,but, but,.
case_019,False,1783,lets, Let's, We'll
case_019,False,2189,lets, Let's, Bring
case_019,False,2662,wait, Wait, something
case_019,False,4098,but,But,Plug
case_019,False,7695,but, But, Except
case_019,False,7891,but, But, Does
case_019,False,7975,but, but, except
case_019,False,8738,lets, Let's, I
case_019,False,10753,but,But,Better
case_019,False,11001,lets, Let's, So
case_019,False,11920,lets, Let's, We'll
case_021,False,2134,but, But, In
case_021,False,2449,wait, Wait, Provided
case_021,False,3593,wait, Wait, 
case_021,False,4501,lets, Let's, So
case_021,False,5455,but, but, i
case_021,False,5791,lets, Let's, Could
case_021,False,6311,lets, Let's, Suppose
case_021,False,6575,actually, Actually, That
case_021,False,7066,but, but, less
case_023,True,892,lets,Let's,Also
case_023,True,3093,but, But, No
case_023,True,3880,but, But, Some
case_023,True,5921,lets, Let's, Must
case_023,True,6147,but, but, which
case_023,True,6277,but, But, That's
case_023,True,7513,but, But, None
case_023,True,7611,but, But, Unique
case_023,True,7687,but, but, perhaps
case_023,True,11112,but, but, Something
case_023,True,11324,but, But, They
case_023,True,11699,but,But,Double
case_023,True,13730,but, But, Maybe
case_023,True,14496,but, But, No
case_024,False,1252,but, But, And
case_024,False,1467,lets, Let's, Not
case_024,False,2250,lets, Let's, Good
case_026,True,3904,but,But,Observ
case_026,True,7982,lets, Let's, We
case_026,True,8108,actually, Actually, Might
case_026,True,8901,lets,Let's,Observation
case_026,True,11273,actually, Actually, Eh
case_026,True,26496,but, but, meaning
case_026,True,27313,lets, Let's, We
case_026,True,31295,wait, Wait, not
case_029,True,729,but, But, That's
case_029,True,3089,but, But, We'll
case_029,True,5168,actually, Actually, Maybe
case_029,True,6166,but, but, so
case_029,True,7015,actually, Actually, The
case_029,True,8888,lets,Let's,Better
case_029,True,9958,lets, Let's, Possibly
case_029,True,11622,but, But, We
case_029,True,12523,lets, Let's, Cross
case_029,True,15578,actually, Actually, Since
case_029,True,15929,but, but, they
case_029,True,17681,but, But, 
case_029,True,18423,actually, Actually, Which
case_029,True,18609,actually, Actually, Might
case_029,True,19444,actually, Actually, R
case_029,True,19785,actually, Actually, Yes
case_029,True,21063,lets, Let's, Maybe
case_029,True,22103,lets, Let's, Wrong
case_029,True,22327,wait, Wait, Possibly
case_029,True,22421,wait, Wait, Might
case_029,True,22448,lets, Let's, Our
case_030,True,1993,actually, Actually, Not
case_030,True,5928,but, but, these
case_030,True,6598,but, but, at
case_030,True,6995,but, but, in
case_030,True,7007,but, but, that
case_030,True,8859,but, But, The
case_030,True,10203,but, but, entirely
case_030,True,10334,but, but,","
case_030,True,10699,wait, Wait, That
case_030,True,11390,but, but, not
case_030,True,14065,wait, Wait, For
case_030,True,15041,lets, Let's, Need
case_030,True,15049,lets,Let's,We
case_030,True,16218,wait, Wait, Because
case_030,True,17003,but,But,Similarly
case_030,True,20865,but, but, as
case_030,True,21474,but, but, while
case_030,True,22194,but, but, c
